,st_cty_code,county,state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
60,100121,Talladega County,AL,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
61,100123,Tallapoosa County,AL,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,1,1,0
62,100125,Tuscaloosa County,AL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,7,4,3
63,100127,Walker County,AL,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0
64,100129,Washington County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,100131,Wilcox County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,100133,Winston County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,100999,Alabama,AL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
68,20013,Aleutians East Borough,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,20016,Aleutians West Census Area,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,20020,Anchorage Municipality,AK,1,1,1,2,1,1,1,3,1,4,0,3,1,5,4,2,5,6,3
71,20050,Bethel Census Area,AK,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
72,20060,Bristol Bay Borough,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,20068,Denali Borough,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,20070,Dillingham Census Area,AK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,20090,Fairbanks North Star Borough,AK,1,1,0,1,1,0,0,0,1,0,0,1,1,2,0,2,5,1,1
76,200100,Haines Borough,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,200105,Hoonah-Angoon Census Area,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,200110,Juneau City and Borough,AK,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,1
79,200122,Kenai Peninsula Borough,AK,0,0,0,0,0,0,1,1,1,0,3,3,1,0,1,1,2,1,4
80,200130,Ketchikan Gateway Borough,AK,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0
81,200150,Kodiak Island Borough,AK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
82,200158,Kusilvak Census Area,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,200164,Lake and Peninsula Borough,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,200170,Matanuska-Susitna Borough,AK,0,0,0,0,0,1,0,4,1,1,3,1,1,4,3,1,3,1,1
85,200180,Nome Census Area,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,200185,North Slope Borough,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,200188,Northwest Arctic Borough,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,200195,Petersburg Borough,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,200198,Prince of Wales-Hyder Census Area,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,200220,Sitka City and Borough,AK,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
91,200230,Skagway Municipality,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,200240,Southeast Fairbanks Census Area,AK,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
