,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
110,2005,Union,29.7029.7,34.4034.4,37.0037.0,53.1053.1,57.4057.4,73.1073.1,76.8076.8,78.0078.0,71.1071.1,56.1056.1,47.6047.6,32.6032.6
111,2006,Union,38.5038.5,34.2034.2,41.5041.5,54.0054.0,62.0062.0,70.8070.8,77.6077.6,74.7074.7,64.8064.8,53.8053.8,49.9049.9,42.2042.2
112,2007,Union,36.2036.2,26.8026.8,40.6040.6,48.6048.6,63.5063.5,71.3071.3,74.3074.3,73.4073.4,68.4068.4,62.1062.1,43.1043.1,35.3035.3
113,2008,Union,34.3034.3,34.4034.4,41.0041.0,53.2053.2,58.1058.1,73.4073.4,77.2077.2,72.1072.1,68.1068.1,53.6053.6,43.9043.9,36.2036.2
114,2009,Union,26.4026.4,35.0035.0,40.8040.8,52.8052.8,61.9061.9,68.0068.0,72.9072.9,75.8075.8,65.6065.6,53.4053.4,49.9049.9,34.3034.3
115,2010,Union,31.4031.4,32.2032.2,46.6046.6,56.0056.0,64.9064.9,74.5074.5,79.8079.8,75.4075.4,69.6069.6,56.6056.6,45.6045.6,31.4031.4
116,2011,Union,27.7027.7,34.2034.2,41.8041.8,53.9053.9,64.0064.0,72.2072.2,79.3079.3,74.6074.6,69.2069.2,56.1056.1,49.2049.2,40.9040.9
117,2012,Union,35.9035.9,39.6039.6,50.4050.4,53.7053.7,65.3065.3,71.0071.0,79.0079.0,75.9075.9,68.1068.1,57.3057.3,42.2042.2,40.2040.2
118,2013,Union,34.8034.8,33.0033.0,39.4039.4,52.0052.0,61.4061.4,72.1072.1,79.1079.1,72.8072.8,65.6065.6,57.9057.9,43.4043.4,36.0036.0
119,2014,Union,26.4026.4,29.1029.1,35.8035.8,50.9050.9,62.5062.5,70.8070.8,75.2075.2,72.2072.2,67.9067.9,57.8057.8,42.7042.7,39.3039.3
120,2015,Union,27.7027.7,22.1022.1,36.0036.0,52.1052.1,66.9066.9,70.5070.5,76.9076.9,76.4076.4,72.2072.2,55.4055.4,50.3050.3,48.3048.3
121,2016,Union,32.3032.3,36.5036.5,47.9047.9,52.1052.1,61.4061.4,71.6071.6,78.2078.2,78.0078.0,70.6070.6,57.4057.4,47.8047.8,36.9036.9
122,2017,Union,37.2037.2,40.3040.3,38.7038.7,56.6056.6,60.4060.4,71.5071.5,76.2076.2,72.6072.6,69.6069.6,61.8061.8,44.6044.6,33.8033.8
123,2018,Union,29.8029.8,39.9039.9,39.1039.1,48.2048.2,65.7065.7,70.7070.7,77.3077.3,77.2077.2,69.7069.7,55.6055.6,42.2042.2,37.9037.9
124,2019,Union,31.4031.4,34.8034.8,39.6039.6,54.6054.6,62.0062.0,70.8070.8,78.8078.8,74.7074.7,69.1069.1,58.2058.2,41.6041.6,36.0036.0
