,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
114,2009,Salem,29.5029.5,37.3037.3,42.6042.6,54.3054.3,63.2063.2,70.0070.0,74.2074.2,77.0077.0,66.7066.7,55.5055.5,50.2050.2,36.0036.0
115,2010,Salem,32.9032.9,31.4031.4,48.1048.1,57.0057.0,66.0066.0,77.0077.0,79.9079.9,76.8076.8,71.4071.4,57.8057.8,47.0047.0,32.0032.0
116,2011,Salem,28.9028.9,36.9036.9,43.2043.2,56.2056.2,66.0066.0,74.4074.4,80.7080.7,75.0075.0,70.2070.2,56.8056.8,50.5050.5,42.7042.7
117,2012,Salem,37.4037.4,40.6040.6,51.6051.6,54.0054.0,67.2067.2,72.1072.1,80.3080.3,76.5076.5,68.5068.5,58.2058.2,42.8042.8,42.9042.9
118,2013,Salem,35.9035.9,34.6034.6,40.3040.3,53.9053.9,63.3063.3,73.2073.2,79.6079.6,73.1073.1,66.3066.3,59.0059.0,44.4044.4,38.5038.5
119,2014,Salem,28.2028.2,32.2032.2,37.8037.8,52.7052.7,64.0064.0,72.6072.6,76.2076.2,72.5072.5,68.4068.4,58.5058.5,43.3043.3,40.2040.2
120,2015,Salem,30.3030.3,25.4025.4,38.4038.4,53.9053.9,67.9067.9,73.0073.0,76.8076.8,75.5075.5,72.4072.4,56.4056.4,51.2051.2,50.1050.1
121,2016,Salem,33.0033.0,37.7037.7,49.1049.1,52.7052.7,61.7061.7,72.5072.5,79.5079.5,78.9078.9,71.9071.9,59.1059.1,48.3048.3,38.4038.4
122,2017,Salem,38.0038.0,43.2043.2,41.6041.6,58.2058.2,61.6061.6,72.7072.7,77.6077.6,73.3073.3,69.5069.5,61.8061.8,46.4046.4,35.2035.2
123,2018,Salem,31.7031.7,41.3041.3,39.5039.5,50.5050.5,66.9066.9,71.9071.9,77.7077.7,78.1078.1,72.3072.3,58.8058.8,44.1044.1,39.8039.8
124,2019,Salem,33.7033.7,36.7036.7,41.8041.8,57.8057.8,65.7065.7,73.0073.0,79.5079.5,76.5076.5,71.6071.6,60.2060.2,42.8042.8,38.4038.4
