,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
104,1999,Passaic,28.8028.8,33.3033.3,37.6037.6,49.9049.9,58.8058.8,69.1069.1,76.7076.7,71.7071.7,64.9064.9,50.9050.9,46.3046.3,34.7034.7
105,2000,Passaic,26.6026.6,32.1032.1,43.2043.2,47.4047.4,59.9059.9,67.7067.7,68.8068.8,68.6068.6,62.1062.1,52.8052.8,41.2041.2,26.9026.9
106,2001,Passaic,27.0027.0,31.6031.6,35.6035.6,49.6049.6,60.4060.4,68.7068.7,69.3069.3,74.1074.1,63.3063.3,53.7053.7,46.2046.2,38.8038.8
107,2002,Passaic,34.3034.3,36.2036.2,40.0040.0,51.8051.8,56.4056.4,68.2068.2,74.2074.2,73.9073.9,65.6065.6,51.2051.2,41.0041.0,30.7030.7
108,2003,Passaic,23.2023.2,24.9024.9,37.9037.9,45.9045.9,56.1056.1,65.6065.6,72.2072.2,73.3073.3,64.4064.4,50.5050.5,45.8045.8,33.1033.1
109,2004,Passaic,21.0021.0,30.0030.0,40.9040.9,50.0050.0,63.4063.4,67.0067.0,70.6070.6,70.8070.8,65.8065.8,51.8051.8,44.3044.3,32.6032.6
110,2005,Passaic,26.1026.1,31.3031.3,34.1034.1,51.4051.4,55.8055.8,70.9070.9,73.7073.7,74.8074.8,68.4068.4,53.9053.9,44.5044.5,29.6029.6
111,2006,Passaic,35.3035.3,31.6031.6,39.2039.2,51.5051.5,60.0060.0,68.4068.4,75.0075.0,71.9071.9,62.3062.3,51.5051.5,47.6047.6,39.4039.4
112,2007,Passaic,33.3033.3,24.4024.4,37.0037.0,46.5046.5,61.6061.6,69.0069.0,71.9071.9,70.5070.5,65.6065.6,59.8059.8,40.5040.5,32.2032.2
113,2008,Passaic,31.3031.3,31.0031.0,38.1038.1,51.4051.4,55.9055.9,70.8070.8,74.2074.2,69.2069.2,65.2065.2,50.9050.9,41.6041.6,32.8032.8
114,2009,Passaic,22.8022.8,31.9031.9,38.4038.4,50.8050.8,59.6059.6,65.8065.8,69.7069.7,72.8072.8,62.4062.4,51.1051.1,47.2047.2,31.3031.3
115,2010,Passaic,28.5028.5,29.7029.7,44.0044.0,54.1054.1,62.6062.6,71.1071.1,76.2076.2,72.5072.5,66.4066.4,53.8053.8,43.1043.1,28.9028.9
116,2011,Passaic,24.4024.4,29.3029.3,38.3038.3,51.0051.0,62.0062.0,69.1069.1,75.7075.7,71.7071.7,66.6066.6,53.8053.8,46.2046.2,37.4037.4
117,2012,Passaic,31.7031.7,36.2036.2,47.8047.8,50.8050.8,63.5063.5,68.2068.2,75.7075.7,72.8072.8,64.8064.8,54.9054.9,39.5039.5,37.3037.3
118,2013,Passaic,30.8030.8,29.6029.6,36.4036.4,49.6049.6,59.5059.5,69.2069.2,76.2076.2,69.8069.8,62.7062.7,54.8054.8,40.4040.4,32.6032.6
119,2014,Passaic,22.9022.9,25.7025.7,31.7031.7,48.2048.2,60.8060.8,69.0069.0,73.1073.1,69.9069.9,65.3065.3,55.5055.5,39.5039.5,36.0036.0
120,2015,Passaic,24.1024.1,17.8017.8,32.5032.5,49.4049.4,64.7064.7,67.9067.9,73.5073.5,72.8072.8,68.9068.9,52.2052.2,46.9046.9,44.4044.4
121,2016,Passaic,28.6028.6,32.9032.9,44.6044.6,49.3049.3,59.1059.1,68.5068.5,75.2075.2,74.9074.9,67.6067.6,54.4054.4,44.9044.9,33.2033.2
122,2017,Passaic,33.3033.3,36.6036.6,35.4035.4,53.9053.9,58.1058.1,68.4068.4,73.0073.0,69.9069.9,66.7066.7,59.0059.0,41.2041.2,30.0030.0
123,2018,Passaic,25.5025.5,35.7035.7,36.1036.1,45.2045.2,63.8063.8,68.1068.1,74.8074.8,74.9074.9,67.1067.1,53.2053.2,39.6039.6,35.0035.0
124,2019,Passaic,27.9027.9,31.2031.2,36.3036.3,52.0052.0,60.1060.1,68.1068.1,76.2076.2,72.3072.3,66.0066.0,55.4055.4,38.4038.4,32.5032.5
