,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
105,2000,30.8030.8,35.8035.8,46.2046.2,50.5050.5,62.7062.7,70.8070.8,71.6071.6,71.5071.5,64.8064.8,55.2055.2,44.0044.0,29.5029.5
106,2001,30.4030.4,35.6035.6,38.9038.9,51.9051.9,62.3062.3,72.0072.0,72.0072.0,76.1076.1,65.5065.5,56.2056.2,50.0050.0,42.2042.2
107,2002,37.6037.6,39.2039.2,44.0044.0,53.8053.8,59.6059.6,70.8070.8,76.9076.9,76.7076.7,68.4068.4,54.3054.3,43.5043.5,33.2033.2
108,2003,26.6026.6,28.7028.7,41.8041.8,48.7048.7,57.5057.5,67.8067.8,75.2075.2,75.9075.9,67.3067.3,53.1053.1,48.9048.9,36.3036.3
109,2004,24.9024.9,33.7033.7,43.6043.6,52.3052.3,66.7066.7,69.8069.8,73.8073.8,73.0073.0,68.0068.0,53.9053.9,46.6046.6,35.7035.7
110,2005,30.6030.6,34.7034.7,37.7037.7,53.3053.3,57.4057.4,73.2073.2,76.7076.7,77.0077.0,70.5070.5,56.4056.4,47.8047.8,32.8032.8
111,2006,39.0039.0,34.5034.5,42.5042.5,54.0054.0,62.2062.2,71.1071.1,77.4077.4,74.2074.2,64.5064.5,53.6053.6,49.9049.9,42.3042.3
112,2007,37.1037.1,26.9026.9,41.7041.7,48.8048.8,63.8063.8,71.5071.5,74.1074.1,74.2074.2,68.6068.6,62.5062.5,43.5043.5,35.9035.9
113,2008,35.0035.0,35.6035.6,42.6042.6,53.8053.8,58.7058.7,73.7073.7,76.8076.8,71.6071.6,67.8067.8,53.3053.3,43.7043.7,36.7036.7
114,2009,27.0027.0,35.3035.3,41.4041.4,53.1053.1,62.2062.2,68.3068.3,72.6072.6,75.2075.2,64.8064.8,53.4053.4,49.6049.6,35.1035.1
115,2010,32.0032.0,31.7031.7,47.3047.3,56.3056.3,64.8064.8,74.7074.7,79.4079.4,75.9075.9,70.0070.0,56.4056.4,45.3045.3,31.4031.4
116,2011,27.5027.5,34.8034.8,42.0042.0,54.8054.8,64.7064.7,72.5072.5,79.3079.3,74.4074.4,69.4069.4,56.3056.3,49.3049.3,40.8040.8
117,2012,35.9035.9,38.9038.9,50.6050.6,53.3053.3,65.9065.9,70.4070.4,78.0078.0,75.1075.1,67.3067.3,56.6056.6,41.2041.2,40.6040.6
118,2013,34.1034.1,32.9032.9,39.0039.0,51.8051.8,61.2061.2,71.6071.6,78.2078.2,71.6071.6,64.5064.5,57.3057.3,43.1043.1,35.7035.7
119,2014,26.2026.2,29.3029.3,35.8035.8,50.8050.8,62.3062.3,71.2071.2,74.6074.6,71.0071.0,67.4067.4,56.9056.9,41.7041.7,39.0039.0
120,2015,28.0028.0,22.7022.7,36.1036.1,52.4052.4,66.9066.9,71.0071.0,76.0076.0,74.9074.9,71.3071.3,54.8054.8,50.0050.0,48.6048.6
121,2016,31.2031.2,35.9035.9,47.6047.6,51.1051.1,60.8060.8,71.4071.4,77.7077.7,77.1077.1,69.6069.6,56.5056.5,46.6046.6,36.6036.6
122,2017,36.3036.3,40.6040.6,39.0039.0,56.0056.0,60.3060.3,71.2071.2,76.0076.0,71.8071.8,68.5068.5,60.7060.7,44.2044.2,33.3033.3
123,2018,29.3029.3,39.6039.6,38.7038.7,48.2048.2,65.8065.8,70.7070.7,76.6076.6,77.2077.2,70.2070.2,56.3056.3,42.1042.1,38.1038.1
124,2019,32.0032.0,35.3035.3,40.1040.1,55.6055.6,63.2063.2,71.0071.0,78.5078.5,74.8074.8,69.6069.6,58.2058.2,41.7041.7,36.5036.5
125,2020,37.4037.4,39.9039.9,46.8046.8,49.4049.4,59.6059.6,M,M,M,M,M,M,M
