,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,24.4024.4,33.1033.1,37.4037.4,49.9049.9,62.7062.7,69.7069.7,74.8074.8,74.6074.6,69.4069.4,57.3057.3,46.8046.8,35.2035.2
76,1971,27.0027.0,34.6034.6,39.6039.6,48.9048.9,58.5058.5,71.3071.3,74.1074.1,72.7072.7,69.0069.0,61.3061.3,44.1044.1,41.1041.1
77,1972,34.1034.1,31.2031.2,39.6039.6,47.9047.9,60.7060.7,67.0067.0,75.3075.3,72.8072.8,67.0067.0,51.0051.0,42.8042.8,39.9039.9
78,1973,33.7033.7,32.4032.4,45.9045.9,52.2052.2,58.6058.6,72.7072.7,75.5075.5,75.6075.6,67.9067.9,57.0057.0,47.0047.0,38.2038.2
79,1974,35.8035.8,31.9031.9,43.2043.2,54.1054.1,60.8060.8,68.2068.2,75.0075.0,73.8073.8,66.0066.0,51.9051.9,45.9045.9,38.5038.5
80,1975,36.6036.6,35.0035.0,40.3040.3,46.6046.6,64.3064.3,70.3070.3,74.7074.7,74.7074.7,64.0064.0,59.1059.1,50.2050.2,36.2036.2
81,1976,28.0028.0,40.2040.2,45.0045.0,54.1054.1,60.7060.7,72.5072.5,73.4073.4,72.6072.6,65.1065.1,51.2051.2,39.5039.5,30.2030.2
82,1977,21.1021.1,33.8033.8,46.8046.8,53.6053.6,63.5063.5,68.4068.4,76.2076.2,74.5074.5,68.3068.3,53.9053.9,47.6047.6,34.1034.1
83,1978,28.3028.3,23.6023.6,38.0038.0,50.0050.0,58.7058.7,69.5069.5,72.8072.8,75.6075.6,65.0065.0,54.0054.0,46.9046.9,37.7037.7
84,1979,32.4032.4,22.7022.7,45.3045.3,49.9049.9,62.4062.4,66.9066.9,73.8073.8,73.6073.6,66.7066.7,54.2054.2,49.4049.4,38.2038.2
85,1980,31.6031.6,29.5029.5,39.5039.5,52.6052.6,63.4063.4,68.4068.4,76.7076.7,76.6076.6,69.5069.5,53.6053.6,42.4042.4,32.2032.2
86,1981,25.1025.1,37.6037.6,39.1039.1,54.5054.5,61.6061.6,71.5071.5,76.2076.2,71.9071.9,65.7065.7,52.2052.2,44.5044.5,34.0034.0
87,1982,24.5024.5,34.4034.4,40.7040.7,48.8048.8,62.7062.7,67.5067.5,75.0075.0,70.9070.9,65.5065.5,55.3055.3,47.8047.8,41.5041.5
