,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
105,2000,29.2029.2,34.6034.6,45.5045.5,49.2049.2,61.9061.9,70.0070.0,71.1071.1,71.0071.0,64.1064.1,54.4054.4,43.0043.0,29.0029.0
106,2001,29.6029.6,33.9033.9,37.9037.9,51.6051.6,62.0062.0,71.0071.0,71.8071.8,76.3076.3,65.2065.2,55.3055.3,49.0049.0,41.3041.3
107,2002,37.1037.1,38.4038.4,42.2042.2,53.8053.8,58.6058.6,70.2070.2,76.8076.8,76.2076.2,67.9067.9,53.1053.1,42.9042.9,33.2033.2
108,2003,25.7025.7,27.4027.4,40.5040.5,47.9047.9,57.6057.6,67.4067.4,74.9074.9,75.5075.5,66.3066.3,52.5052.5,48.1048.1,35.2035.2
109,2004,23.4023.4,32.3032.3,42.3042.3,52.1052.1,65.0065.0,69.6069.6,73.0073.0,72.7072.7,67.8067.8,53.7053.7,46.4046.4,35.4035.4
110,2005,29.0029.0,33.9033.9,36.8036.8,53.0053.0,57.5057.5,73.2073.2,76.5076.5,77.6077.6,70.8070.8,55.9055.9,46.8046.8,32.0032.0
111,2006,37.9037.9,33.8033.8,41.1041.1,53.6053.6,61.8061.8,70.5070.5,77.2077.2,74.3074.3,64.3064.3,53.5053.5,49.5049.5,41.6041.6
112,2007,35.7035.7,26.3026.3,39.7039.7,48.4048.4,63.3063.3,70.9070.9,73.9073.9,72.8072.8,67.8067.8,61.8061.8,42.5042.5,34.6034.6
113,2008,33.7033.7,33.6033.6,40.4040.4,52.9052.9,58.1058.1,73.0073.0,76.8076.8,71.6071.6,67.3067.3,53.1053.1,43.3043.3,35.4035.4
114,2009,25.6025.6,34.4034.4,40.4040.4,52.6052.6,61.6061.6,67.6067.6,72.3072.3,75.1075.1,64.7064.7,53.0053.0,49.3049.3,33.6033.6
115,2010,30.8030.8,31.9031.9,46.2046.2,55.9055.9,64.6064.6,73.7073.7,79.1079.1,74.8074.8,68.7068.7,56.0056.0,45.2045.2,30.9030.9
116,2011,27.0027.0,33.1033.1,41.0041.0,53.1053.1,63.7063.7,71.6071.6,78.8078.8,74.1074.1,68.5068.5,55.3055.3,48.6048.6,40.2040.2
117,2012,35.2035.2,39.0039.0,50.0050.0,53.2053.2,64.9064.9,70.6070.6,78.5078.5,75.3075.3,67.3067.3,56.8056.8,41.6041.6,39.4039.4
118,2013,33.8033.8,32.2032.2,38.8038.8,51.5051.5,61.1061.1,71.6071.6,78.6078.6,72.3072.3,64.9064.9,57.2057.2,42.8042.8,35.2035.2
119,2014,25.8025.8,28.4028.4,35.2035.2,50.4050.4,62.3062.3,70.9070.9,75.1075.1,72.0072.0,67.4067.4,57.2057.2,42.2042.2,38.6038.6
120,2015,27.0027.0,21.1021.1,35.3035.3,51.5051.5,66.5066.5,70.0070.0,76.4076.4,75.8075.8,71.3071.3,54.7054.7,49.8049.8,47.5047.5
121,2016,31.8031.8,35.8035.8,47.2047.2,51.6051.6,61.2061.2,71.2071.2,77.8077.8,77.6077.6,69.9069.9,56.8056.8,47.5047.5,36.1036.1
122,2017,36.4036.4,39.6039.6,38.0038.0,56.1056.1,60.1060.1,71.1071.1,75.6075.6,72.2072.2,69.0069.0,61.5061.5,44.0044.0,33.1033.1
123,2018,29.0029.0,39.2039.2,38.5038.5,47.5047.5,65.5065.5,70.5070.5,77.0077.0,76.7076.7,68.9068.9,55.0055.0,41.8041.8,37.4037.4
124,2019,30.5030.5,34.0034.0,39.0039.0,53.9053.9,61.6061.6,70.4070.4,78.5078.5,74.3074.3,68.3068.3,57.5057.5,40.9040.9,35.3035.3
